LRU,LFU,LRFU,Random,Greedy,CostAwareLRFU
4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4109.720626652241,4067.0792320370674
4067.0792320370674,4067.0792320370674,4070.9076367020607,4067.0792320370674,4070.9076367020607,4067.0792320370674
4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161
4070.9076367020607,4070.9076367020607,4070.9076367020607,4070.9076367020607,4070.9076367020607,4070.9076367020607
4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4074.667095720768,4067.0792320370674
4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161
4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674
4070.9076367020607,4070.9076367020607,4070.9076367020607,4070.9076367020607,4070.9076367020607,4070.9076367020607
4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161
4070.9076367020607,4070.9076367020607,4067.0792320370674,4070.9076367020607,4070.9076367020607,4070.9076367020607
4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4070.249528348446,4067.0792320370674
4067.0792320370674,4067.0792320370674,4069.171371281147,4067.0792320370674,4072.4603078961372,4067.0792320370674
4067.0792320370674,4067.0792320370674,4068.1573891043663,4067.0792320370674,4071.9857937693596,4067.0792320370674
4070.3681686520576,4070.3681686520576,4070.3681686520576,4070.3681686520576,4070.3681686520576,4070.3681686520576
4067.0792320370674,4067.0792320370674,4069.171371281147,4067.0792320370674,4070.249528348446,4067.0792320370674
4067.0792320370674,4067.0792320370674,4069.171371281147,4067.0792320370674,4070.249528348446,4067.0792320370674
4067.0792320370674,4067.0792320370674,4070.9055941700935,4067.0792320370674,4070.9055941700935,4067.0792320370674
4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4070.3681686520576,4067.0792320370674
4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4069.171371281147,4067.0792320370674
4070.3038282990456,4070.3038282990456,4072.395967543125,4070.3038282990456,4072.395967543125,4070.3038282990456
4067.0792320370674,4067.0792320370674,4070.9055941700935,4067.0792320370674,4070.9055941700935,4067.0792320370674
4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674
4107.628487408161,4107.628487408161,4107.628487408161,4107.628487408161,4110.917424023151,4107.628487408161
4070.9076367020607,4070.9076367020607,4069.171371281147,4070.9076367020607,4072.9997759461403,4070.9076367020607
4070.3681686520576,4070.3681686520576,4070.3681686520576,4070.3681686520576,4070.3681686520576,4070.3681686520576
4067.0792320370674,4067.0792320370674,4070.8386910557747,4067.0792320370674,4070.8386910557747,4067.0792320370674
4067.0792320370674,4067.0792320370674,4070.9076367020607,4067.0792320370674,4074.733998835087,4067.0792320370674
4067.0792320370674,4067.0792320370674,4069.171371281147,4067.0792320370674,4070.249528348446,4067.0792320370674
4067.0792320370674,4067.0792320370674,4070.9076367020607,4067.0792320370674,4070.9076367020607,4067.0792320370674
4067.0792320370674,4067.0792320370674,4109.720626652241,4067.0792320370674,4109.720626652241,4067.0792320370674
4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4068.1573891043663,4067.0792320370674
4070.9055941700935,4070.9055941700935,4067.0792320370674,4070.9055941700935,4070.9055941700935,4070.9055941700935
4067.0792320370674,4067.0792320370674,4070.3681686520576,4067.0792320370674,4074.196573317051,4067.0792320370674
4067.0792320370674,4067.0792320370674,4107.628487408161,4067.0792320370674,4110.917424023151,4067.0792320370674
4070.3038282990456,4070.3038282990456,4070.3038282990456,4070.3038282990456,4070.3038282990456,4070.3038282990456
4067.0792320370674,4067.0792320370674,4070.9076367020607,4067.0792320370674,4074.733998835087,4067.0792320370674
4070.9076367020607,4070.9076367020607,4069.171371281147,4070.9076367020607,4072.9997759461403,4070.9076367020607
4067.0792320370674,4067.0792320370674,4074.127627670765,4067.0792320370674,4074.127627670765,4067.0792320370674
4067.0792320370674,4067.0792320370674,4068.1573891043663,4067.0792320370674,4068.1573891043663,4067.0792320370674
4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674,4067.0792320370674
