Cost,ETag,Key,Size
1248.1070556640625,5dda4e26d910696d9cc0c84766274ab3-3611,Inrix/train/samples/county=shelby.tar.gz,30283395142
287.5415267944336,d0b7266c2ef4def03c2347097b5f59a0-234,Inrix/train/samples/county=jefferson.tar.gz,1961347371
64.9866828918457,a0e428111c7bbced87456abbed2b0b47-54,Inrix/train/samples/county=scott.tar.gz,448256064
195.9002456665039,5507e5263a7be8e7842902861fd8ea59-159,Inrix/train/samples/county=hawkins.tar.gz,1329671249
362.4569091796875,1e796fe1e65418a05d4e78a5123c4e7d-338,Inrix/train/samples/county=washington.tar.gz,2832632799
204.98966217041016,32e4c9ee92623a4e77c05dd05263b9b3-168,Inrix/train/samples/county=marshall.tar.gz,1401466232
391.0470733642578,70f067af0160f94ed9e46448326cc4d8-312,Inrix/train/samples/county=blount.tar.gz,2616464784
721.0857543945312,6175584924e5f20587b855351d4e00b5-711,Inrix/train/samples/county=rutherford.tar.gz,5961629164
113.52200698852539,2b96d42573e4679350c3275d1b852554-123,Inrix/train/samples/county=carter.tar.gz,1028240233
222.81407165527344,d8449846cff6c69ea2c5d08f94f0a0c5-165,Inrix/train/samples/county=warren.tar.gz,1383055396
256.3817901611328,febd6b615aea121433153603bf301c67-210,Inrix/train/samples/county=loudon.tar.gz,1758481115
145.2372817993164,fdf31df30888d05f301a854bee040628-119,Inrix/train/samples/county=rhea.tar.gz,998180439
41.59456443786621,78ef752a8c1a3a57ea3aaab25f523c9d-36,Inrix/train/samples/county=trousdale.tar.gz,300401975
109.47719955444336,6e0bd590d2e4c10d37868dbac4ee3ae7-91,Inrix/train/samples/county=lauderdale.tar.gz,763033919
368.0166931152344,3fdf6bc8b42be96091be12faa486c38f-293,Inrix/train/samples/county=putnam.tar.gz,2453514969
197.70125579833984,572b046bf07824ffbaa13906b56adf1d-159,Inrix/train/samples/county=henry.tar.gz,1327814660
444.3416442871094,b8f6695f3871fa1d60924f9eabfe2523-453,Inrix/train/samples/county=sumner.tar.gz,3798341675
60.83167839050293,cfa02966970b395189885172e5c32342-51,Inrix/train/samples/county=johnson.tar.gz,420926105
340.79547119140625,960eff304d78b56151b629057f8d5b11-271,Inrix/train/samples/county=obion.tar.gz,2268206504
114.09042739868164,5181bd7971b378f0e0898ab571926841-91,Inrix/train/samples/county=stewart.tar.gz,760822595
86.09702110290527,3d285dd4f65685445a61f0a336ba4fce-148,Inrix/train/samples/county=campbell.tar.gz,1236149394
1350.3407592773438,bf5399a8f3476c7bdec19833076baf72-1562,Inrix/train/samples/county=hamilton.tar.gz,13100536177
79.59979248046875,7e7ab5312374eced66ebbffff62340ec-61,Inrix/train/samples/county=morgan.tar.gz,505150764
151.11511993408203,4bdc2ae8efa7e6429402daa050dcd28f-135,Inrix/train/samples/county=franklin.tar.gz,1129201901
186.42903900146484,0658da68a14f56c06318fe7028b344ec-162,Inrix/train/samples/county=hamblen.tar.gz,1354971081
190.41534423828125,e61fb623b9af01461d509815cd05085a-152,Inrix/train/samples/county=monroe.tar.gz,1274709619
307.5697937011719,698f29ea69a131c8922fec0600ff1c58-256,Inrix/train/samples/county=weakley.tar.gz,2142511349
322.8475341796875,c1ff5cc05ba82ddb9ae5f7e1f08eaa9d-260,Inrix/train/samples/county=mcminn.tar.gz,2178659227
337.3922119140625,ec20bb9d2669ac0497f6aa02e58f96fa-253,Inrix/train/samples/county=cumberland.tar.gz,2120453865
