Method,compute_time,batch_size,throughput,load_time,avg_cache_usage,cache_hit_rate,memory,opt_num_worker
PyTorch,0.5,512,1510.8607676078216,33.887967109680176,0,0.0,19.208750000000002,0
DLCache,0.5,1024,894.6312097421352,114.46057200431824,3706,0.20271484375,39.72375,8
DLCache,0.5,2048,723.7200559073366,282.98234701156616,6628,0.182900390625,69.13,8
DLCache,0.5,512,1746.3551870673327,29.3182053565979,2723,0.305859375,24.53625,8
PyTorch,0.5,2048,801.3166275361841,255.57937145233154,0,0.0,64.62,0
DLCache,0.5,512,1356.575446112048,37.74209547042847,2492,0.27115234375,23.442499999999995,8
PyTorch,0.5,1024,992.2044217442772,103.20453906059265,0,0.0,36.71375,0
DLCache,0.5,1024,758.4193722075541,135.01764822006226,4218,0.2296484375,40.55,8
PyTorch,0.5,512,1584.2225546955065,32.31869149208069,0,0.0,22.997500000000002,0
DLCache,0.5,2048,669.5040953666914,305.8980541229248,5903,0.1557666015625,71.64500000000001,8
PyTorch,0.5,1024,756.8026367902416,135.30608248710632,0,0.0,32.9375,0
DLCache,0.5,512,1961.1531712289159,26.107088804244995,2964,0.33216796875,24.857499999999998,8
PyTorch,0.5,512,1063.0495546439402,48.16332387924194,0,0.0,19.21875,0
DLCache,0.5,1024,1066.287691977344,96.03411984443665,4464,0.220908203125,40.1475,8
PyTorch,0.5,2048,616.9272952727844,331.96780490875244,0,0.0,60.71625,0
PyTorch,0.5,2048,750.8239246993285,272.76701402664185,0,0.0,59.00750000000001,0
PyTorch,0.5,1024,823.3938151657064,124.36333394050598,0,0.0,32.845,0
DLCache,0.5,2048,829.1059683040471,247.01305723190308,6614,0.18328125,70.62,8
DLCache,1.0,1024,2206.098663657501,46.41678166389465,6103,0.30966796875,41.86125,8
PyTorch,1.0,512,5193.641589615172,9.858208179473877,0,0.0,25.1125,0
DLCache,1.0,2048,983.5721376500612,208.22061967849731,8219,0.2285791015625,72.40875000000001,8
DLCache,1.0,512,4086.7797861670156,12.528201341629028,3063,0.51818359375,20.130000000000003,5
PyTorch,1.0,2048,1026.1348038634765,199.583913564682,0,0.0,64.42875,0
DLCache,1.0,2048,1054.892615080702,194.14298391342163,8603,0.2392578125,72.37625,8
DLCache,1.0,512,4754.866652485727,10.76791501045227,3602,0.48669921875,27.655,7
PyTorch,1.0,1024,1965.5622523796023,52.097052574157715,0,0.0,37.075,0
PyTorch,1.0,1024,1598.5438260261324,64.05830001831055,0,0.0,32.95,0
DLCache,1.0,1024,1468.1436169462925,69.74794483184814,4948,0.25099609375,40.5625,8
PyTorch,1.0,2048,708.6654254246353,288.99392104148865,0,0.0,60.98,0
DLCache,1.0,1024,1819.242691999867,56.28715753555298,5547,0.305947265625,41.1425,8
PyTorch,1.0,512,5687.2688293001,9.002563714981079,0,0.0,29.19875,0
PyTorch,1.0,2048,930.9107232240657,219.999614238739,0,0.0,60.05875000000001,0
PyTorch,1.0,512,4299.403678679882,11.908628225326538,0,0.0,22.305,0
PyTorch,1.0,1024,1106.7425887384525,92.5237729549408,0,0.0,33.058749999999996,0
DLCache,1.0,512,5452.297751600005,9.390536308288574,4252,0.751484375,22.797500000000003,5
DLCache,1.0,2048,820.0746406498644,249.73336553573608,7454,0.18171875,73.4875,8
DLCache,1.5,2048,999.7173282967556,204.85790753364563,8637,0.223916015625,72.295,8
PyTorch,1.5,512,5617.1585713313425,9.114928722381592,0,0.0,26.825,0
DLCache,1.5,512,5422.479237490845,9.442175388336182,3611,0.79533203125,20.4125,4
DLCache,1.5,2048,1143.085028259446,179.1642746925354,9270,0.234697265625,73.76124999999999,8
PyTorch,1.5,2048,1299.8999573334477,157.55058598518372,0,0.0,64.60875,0
PyTorch,1.5,512,4482.266137470678,11.4227933883667,0,0.0,26.007500000000004,0
DLCache,1.5,2048,1469.7741924398524,139.34113216400146,10902,0.2814453125,73.06625,8
DLCache,1.5,512,5446.4550877962565,9.400609970092773,4043,0.89193359375,20.835,4
DLCache,1.5,512,4804.648975713752,10.65634560585022,3785,0.6892578125,23.372500000000002,5
DLCache,1.5,1024,5232.886030870681,19.568551540374756,8703,0.527353515625,51.745000000000005,8
PyTorch,1.5,1024,2458.9660964447853,41.64351844787598,0,0.0,32.7625,0
PyTorch,1.5,512,5639.048191790965,9.079546451568604,0,0.0,30.96,0
PyTorch,1.5,2048,1086.7951919941122,188.44396948814392,0,0.0,60.60125000000001,0
PyTorch,1.5,1024,4640.8320324227525,22.065008878707886,0,0.0,34.30625,0
DLCache,1.5,1024,4137.3785200545035,24.749971389770508,4957,0.28564453125,43.34375,8
PyTorch,1.5,2048,858.0530236474991,238.67988848686218,0,0.0,60.0125,0
PyTorch,1.5,1024,5691.085344483688,17.99305295944214,0,0.0,41.56125,0
DLCache,1.5,1024,4962.717799541672,20.63385510444641,7468,0.449287109375,49.583749999999995,8
DLCache,2.0,1024,5266.624297915009,19.44319438934326,7562,0.514501953125,48.45125,7
DLCache,2.0,512,4977.27263361564,10.286758184432983,3571,0.7912109375,21.071250000000003,4
DLCache,2.0,2048,1659.4788838069167,123.41223621368408,10650,0.2999755859375,74.32374999999999,8
DLCache,2.0,2048,1849.477225456612,110.7339940071106,11695,0.2600341796875,74.05125000000001,8
DLCache,2.0,1024,4744.208653453873,21.584210872650146,6841,0.454267578125,46.76375,7
DLCache,2.0,512,5189.222852926687,9.866602659225464,3088,0.84859375,17.80625,3
DLCache,2.0,2048,1179.7639641586243,173.59404611587524,9290,0.2414892578125,74.0925,8
PyTorch,2.0,2048,1953.6716496279237,104.82826018333435,0,0.0,64.71124999999999,0
PyTorch,2.0,1024,5713.511998719312,17.92242670059204,0,0.0,49.5325,0
PyTorch,2.0,1024,4926.930478978836,20.78373146057129,0,0.0,41.072500000000005,0
PyTorch,2.0,512,5719.945520666567,8.951134204864502,0,0.0,31.985000000000003,0
PyTorch,2.0,512,4935.940424595701,10.372896671295166,0,0.0,26.996249999999996,0
DLCache,2.0,1024,5063.887106362165,20.221619844436646,8005,0.545849609375,47.996249999999996,7
PyTorch,2.0,2048,1580.179618232614,129.60551929473877,0,0.0,60.7,0
PyTorch,2.0,2048,1051.1130792867327,194.84107279777527,0,0.0,60.728750000000005,0
PyTorch,2.0,1024,5427.103738645878,18.86825919151306,0,0.0,44.22625000000001,0
DLCache,2.0,512,5019.504101941938,10.200210809707642,3980,0.8744140625,21.334999999999997,4
PyTorch,2.0,512,5421.821007498404,9.443321704864502,0,0.0,27.597499999999997,0
DLCache,2.5,1024,5153.884024174648,19.868510723114014,8028,0.86478515625,32.47375,4
PyTorch,2.5,2048,2484.3444450239685,82.43623399734497,0,0.0,60.276250000000005,0
DLCache,2.5,512,5281.776492750236,9.693708181381226,3150,0.87701171875,18.2875,3
PyTorch,2.5,512,4992.490047491206,10.255403518676758,0,0.0,28.08125,0
PyTorch,2.5,512,4963.8444409222775,10.31458592414856,0,0.0,27.911250000000003,0
DLCache,2.5,2048,2010.732084966938,101.85345005989075,10314,0.2678759765625,73.95875,8
PyTorch,2.5,1024,5678.735946856041,18.032181978225708,0,0.0,47.02875,0
DLCache,2.5,1024,5007.069460007055,20.45108437538147,8257,0.7387109375,38.2025,5
PyTorch,2.5,1024,4738.807096247196,21.608813762664795,0,0.0,45.42,0
DLCache,2.5,1024,4976.4885439434465,20.57675790786743,6452,0.57203125,36.88625,5
PyTorch,2.5,2048,1547.8237366783144,132.31480765342712,0,0.0,59.915000000000006,0
DLCache,2.5,512,4992.441300299665,10.25550365447998,3127,0.86990234375,18.24125,3
PyTorch,2.5,2048,2517.993750250885,81.33459424972534,0,0.0,64.5575,0
PyTorch,2.5,512,5618.765243714981,9.112322330474854,0,0.0,32.128750000000004,0
DLCache,2.5,2048,4410.718328432855,46.43234610557556,12555,0.202392578125,76.02250000000001,8
DLCache,2.5,512,4933.278022002105,10.37849473953247,3081,0.857421875,18.283749999999998,3
DLCache,2.5,2048,3379.0241955237398,60.60921382904053,11080,0.2726708984375,74.9775,8
PyTorch,2.5,1024,5800.859209009074,17.652557373046875,0,0.0,51.019999999999996,0
PyTorch,3.0,1024,4900.99000067188,20.89373779296875,0,0.0,46.8925,0
PyTorch,3.0,512,5404.788243440261,9.473081588745117,0,0.0,28.89375,0
DLCache,3.0,1024,5231.849814679038,19.57242727279663,8122,0.886494140625,33.647499999999994,4
PyTorch,3.0,1024,4923.530507539273,20.798083782196045,0,0.0,52.467499999999994,0
PyTorch,3.0,512,5691.282926177575,8.996214151382446,0,0.0,33.0875,0
DLCache,3.0,1024,4975.281634940732,20.581749439239502,5246,0.4426953125,24.463749999999997,3
